gender,age,study_hours_per_day,attendance_percentage,parental_education,internet_access,previous_grade,assignments_completed,sleep_hours,extracurricular_participation,final_exam_score,result
Female,19,0.73,94.2,Diploma,Yes,89.58,4,5.74,Yes,60.34,Pass
Male,16,3.23,70.11,Bachelor,Yes,68.53,6,8.75,Yes,54.29,Pass
Male,19,3.49,73.09,Diploma,Yes,70.43,2,4.39,Yes,53.65,Pass
Male,16,1.43,81.48,High School,Yes,58.26,3,7.55,No,43.07,Pass
Female,17,4.68,68.46,Diploma,Yes,53.41,7,4.17,No,69.46,Pass
Male,17,5.92,92.45,Bachelor,Yes,84.84,5,5.81,Yes,82.79,Pass
Female,18,5.7,90.95,High School,No,45.85,7,7.85,Yes,63.39,Pass
Male,16,1.58,65.81,Bachelor,No,66.8,10,5.72,No,58.32,Pass
Male,18,5.31,78.55,Diploma,Yes,74.89,1,6.15,Yes,72.66,Pass
Female,16,4.37,90.99,Master,Yes,45.7,8,8.53,No,58.61,Pass
Male,18,3.0,73.49,Diploma,No,68.58,6,4.33,Yes,66.92,Pass
Male,17,3.47,85.32,Diploma,Yes,71.76,4,6.64,No,67.27,Pass
Female,19,5.17,62.01,Bachelor,No,80.84,10,5.83,Yes,90.48,Pass
Male,18,3.14,84.35,Master,Yes,52.92,6,8.82,No,62.8,Pass
Male,16,2.55,66.11,Diploma,Yes,56.13,1,7.97,Yes,50.63,Pass
Male,16,3.21,93.22,High School,Yes,71.32,10,4.61,No,64.92,Pass
Male,17,3.69,74.22,High School,Yes,94.07,3,8.64,No,76.04,Pass
Female,16,1.54,71.26,Bachelor,Yes,51.96,6,5.06,No,50.09,Pass
Female,15,5.45,93.64,Bachelor,Yes,94.22,1,4.42,Yes,73.44,Pass
Male,19,4.21,62.01,Master,Yes,79.29,7,6.71,No,67.06,Pass
Female,18,3.98,75.86,Bachelor,Yes,85.43,9,7.68,No,79.81,Pass
Male,19,1.05,74.8,Master,Yes,44.93,9,7.58,No,60.61,Pass
Female,17,3.82,71.39,Diploma,Yes,56.52,10,6.67,Yes,71.45,Pass
Male,18,1.17,96.47,High School,Yes,43.18,4,6.46,Yes,38.34,Fail
Male,18,0.93,90.04,High School,Yes,60.44,4,8.85,Yes,57.67,Pass
Male,15,3.4,62.56,High School,Yes,93.97,7,8.1,No,78.07,Pass
Male,17,2.72,88.59,Bachelor,Yes,45.79,0,7.49,Yes,44.16,Pass
Male,16,3.74,81.09,Bachelor,Yes,70.93,5,4.98,No,66.63,Pass
Male,15,0.99,96.03,Diploma,Yes,40.33,1,8.1,Yes,35.26,Fail
Female,15,2.87,72.52,Bachelor,No,79.2,0,7.75,Yes,40.95,Pass
Male,19,1.46,82.97,Master,Yes,50.85,6,8.96,Yes,48.7,Pass
Female,19,5.93,80.03,High School,Yes,47.13,3,4.66,No,66.48,Pass
Male,19,3.59,79.58,Diploma,Yes,58.54,0,7.58,No,57.23,Pass
Female,15,4.28,78.24,Master,Yes,82.41,9,8.9,Yes,91.66,Pass
Female,16,2.29,68.23,Master,Yes,45.86,10,6.31,Yes,62.14,Pass
Female,18,1.02,90.23,Bachelor,No,52.64,10,7.67,No,56.24,Pass
Male,19,5.87,78.05,Bachelor,Yes,40.47,5,8.88,No,63.7,Pass
Male,16,2.07,98.34,High School,Yes,93.26,9,6.74,No,72.0,Pass
Female,17,2.83,70.43,Diploma,No,72.57,5,7.5,No,62.95,Pass
Male,19,4.07,87.31,Master,Yes,79.59,2,4.1,Yes,74.82,Pass
Female,18,0.64,97.63,Bachelor,Yes,75.83,5,6.6,Yes,51.45,Pass
Male,17,4.96,86.54,Bachelor,Yes,47.94,9,5.28,Yes,71.56,Pass
Female,17,3.45,94.85,Diploma,Yes,72.72,8,4.66,No,68.28,Pass
Female,18,2.03,93.1,Diploma,Yes,47.23,5,7.54,No,53.54,Pass
Male,19,0.84,74.4,Bachelor,Yes,62.07,0,4.2,Yes,42.71,Pass
Female,15,1.39,84.0,Bachelor,Yes,71.29,9,8.52,Yes,58.4,Pass
Male,18,5.42,66.25,High School,Yes,70.74,5,6.59,Yes,74.94,Pass
Female,18,4.27,81.42,Diploma,No,46.55,7,7.24,Yes,48.95,Pass
Female,18,1.87,69.22,Master,Yes,41.89,6,5.27,Yes,43.67,Pass
Male,17,0.86,89.75,Bachelor,Yes,83.9,7,4.91,No,67.26,Pass
Male,16,4.3,81.12,Bachelor,Yes,79.93,10,5.22,Yes,79.24,Pass
Male,15,3.65,76.45,Bachelor,Yes,44.5,7,5.16,No,51.19,Pass
Female,19,2.72,70.75,Bachelor,Yes,47.01,8,8.32,No,58.93,Pass
Male,19,2.5,99.95,High School,Yes,89.09,2,7.94,No,61.58,Pass
Female,16,1.69,62.87,Diploma,Yes,82.3,6,8.26,Yes,60.64,Pass
Female,18,4.18,61.74,Bachelor,Yes,94.79,5,7.67,No,76.68,Pass
Male,15,5.84,68.69,Diploma,Yes,53.97,1,7.22,Yes,64.21,Pass
Male,19,1.47,98.84,Master,No,66.83,4,6.64,Yes,57.38,Pass
Female,19,3.78,99.17,Master,Yes,53.01,2,5.33,No,55.96,Pass
Female,18,2.83,86.2,Master,Yes,74.25,10,7.53,Yes,78.36,Pass
Male,16,2.96,95.2,Master,Yes,46.35,4,4.68,No,50.77,Pass
Male,15,1.9,68.56,Diploma,Yes,47.0,10,6.56,Yes,56.76,Pass
Male,16,5.04,98.88,Master,Yes,43.95,8,4.98,Yes,68.83,Pass
Male,16,3.17,65.71,Master,Yes,78.15,7,6.52,No,61.82,Pass
Male,15,3.49,64.05,Bachelor,No,67.17,8,5.47,No,74.17,Pass
Female,15,2.18,64.49,Bachelor,Yes,73.98,8,4.27,Yes,63.24,Pass
Female,19,1.5,82.93,Bachelor,Yes,88.36,10,6.52,No,79.13,Pass
Female,19,0.97,91.24,High School,No,80.72,7,4.91,No,62.59,Pass
Female,15,4.43,74.67,Bachelor,No,65.39,7,4.81,Yes,71.91,Pass
Male,17,1.58,99.12,Master,Yes,94.14,10,5.92,No,80.22,Pass
Male,19,4.3,77.38,Diploma,Yes,65.09,10,5.81,No,76.77,Pass
Male,17,2.65,66.02,Master,Yes,46.18,5,8.33,Yes,45.26,Pass
Female,15,2.79,78.64,Diploma,Yes,94.6,5,6.82,No,68.98,Pass
Female,19,3.08,87.16,Master,Yes,41.26,5,8.27,Yes,56.5,Pass
Male,16,2.52,93.29,High School,Yes,70.24,9,4.73,No,71.64,Pass
Male,15,1.05,78.35,Bachelor,No,57.0,5,5.79,Yes,41.65,Pass
Female,18,2.2,83.74,Master,Yes,67.7,10,6.78,No,67.99,Pass
Female,17,4.15,70.69,Bachelor,No,70.73,8,4.77,Yes,67.24,Pass
Male,15,4.16,85.84,High School,No,53.21,9,4.64,Yes,69.17,Pass
Male,15,2.07,99.44,High School,Yes,70.63,0,7.31,Yes,53.65,Pass
Female,19,3.03,61.96,Bachelor,Yes,81.58,9,7.27,No,68.99,Pass
Male,19,1.56,95.46,Bachelor,Yes,54.66,5,5.17,Yes,48.74,Pass
Male,19,1.66,82.49,Diploma,Yes,61.09,7,5.14,Yes,50.32,Pass
Male,18,0.63,70.08,Bachelor,Yes,54.75,0,7.73,No,35.11,Fail
Female,19,5.43,98.2,Bachelor,Yes,85.13,10,4.58,Yes,91.76,Pass
Female,15,1.66,79.33,Diploma,Yes,79.87,10,8.62,Yes,64.98,Pass
Female,19,1.75,73.27,Master,No,87.92,5,8.72,Yes,63.35,Pass
Female,16,2.04,67.26,Diploma,Yes,49.35,8,8.35,Yes,52.55,Pass
Female,19,1.2,69.78,Master,Yes,44.05,5,5.05,No,43.11,Pass
Female,18,4.02,93.31,Master,Yes,46.57,1,4.08,No,45.44,Pass
Female,16,0.91,84.58,Master,Yes,48.86,0,8.68,No,30.93,Fail
Male,15,1.24,96.53,Diploma,No,69.32,3,5.72,Yes,50.27,Pass
Male,15,4.05,69.28,Diploma,No,93.4,5,5.55,No,77.98,Pass
Male,17,2.37,64.85,High School,Yes,59.65,9,5.31,Yes,55.32,Pass
Male,16,4.39,60.24,Master,Yes,92.72,9,5.22,Yes,83.64,Pass
Male,17,3.57,80.31,Diploma,Yes,42.1,8,7.67,No,63.68,Pass
Male,16,1.91,99.93,High School,Yes,90.98,4,8.54,Yes,64.24,Pass
Male,16,4.08,87.8,Master,Yes,49.96,6,7.93,Yes,59.58,Pass
Female,18,1.14,72.34,Diploma,Yes,90.19,5,7.37,No,56.32,Pass
Female,17,3.45,95.07,Diploma,Yes,43.09,5,5.44,No,51.39,Pass
Male,18,2.9,91.27,Diploma,No,92.15,8,6.73,Yes,77.61,Pass
Male,16,1.97,60.62,Bachelor,Yes,51.04,4,5.18,Yes,34.4,Fail
Female,15,3.82,92.67,High School,Yes,56.65,1,4.56,Yes,50.29,Pass
Male,16,5.29,72.02,Diploma,Yes,67.0,7,4.6,Yes,76.54,Pass
Male,18,5.99,65.99,Bachelor,No,60.94,10,7.02,No,84.65,Pass
Female,17,3.84,69.05,High School,Yes,76.71,2,4.19,No,56.11,Pass
Male,17,2.73,78.74,High School,No,93.61,8,8.87,Yes,71.83,Pass
Female,18,1.74,76.99,Bachelor,Yes,73.35,4,8.98,No,54.11,Pass
Male,17,1.91,71.56,High School,Yes,79.68,0,4.75,Yes,51.68,Pass
Female,19,3.14,66.89,Bachelor,Yes,44.84,3,6.14,No,44.47,Pass
Female,15,2.52,90.49,Master,Yes,74.53,8,7.84,No,66.83,Pass
Female,15,5.53,99.6,Diploma,Yes,64.96,0,8.78,Yes,65.29,Pass
Male,15,2.53,91.11,Bachelor,No,88.72,7,8.46,No,65.48,Pass
Female,17,2.55,71.84,High School,Yes,61.35,7,5.27,Yes,66.6,Pass
Male,17,2.61,69.79,High School,Yes,77.37,8,4.43,No,67.39,Pass
Male,16,5.1,68.71,Master,Yes,52.55,8,5.44,No,67.64,Pass
Male,16,4.08,65.47,Master,Yes,54.27,5,6.19,Yes,64.36,Pass
Male,15,3.88,82.05,Master,Yes,60.69,4,5.8,No,60.52,Pass
Female,19,2.34,84.22,Master,Yes,56.72,6,7.87,No,53.94,Pass
Female,16,5.0,88.22,Master,Yes,53.96,8,5.29,Yes,73.27,Pass
Male,16,0.71,87.21,Diploma,No,42.73,4,8.29,No,37.57,Fail
Male,17,5.29,71.69,Bachelor,Yes,86.02,2,5.13,No,68.95,Pass
Female,19,3.32,73.21,Master,No,43.54,8,5.81,Yes,62.67,Pass
Male,15,2.69,87.26,Master,Yes,88.81,9,6.24,Yes,68.21,Pass
Female,16,3.23,73.98,Diploma,No,46.9,0,5.46,No,40.28,Pass
Male,19,4.17,68.5,Bachelor,Yes,43.59,0,7.83,No,54.41,Pass
Male,19,0.57,74.97,Master,Yes,70.97,9,6.05,Yes,57.26,Pass
Female,15,5.29,70.88,Bachelor,Yes,67.63,10,8.44,Yes,72.66,Pass
Male,19,2.96,63.53,Bachelor,Yes,67.02,3,8.82,No,59.61,Pass
Female,19,2.39,93.21,Diploma,No,71.6,1,8.3,No,50.49,Pass
Male,19,1.26,94.12,Diploma,Yes,55.79,6,6.61,Yes,44.73,Pass
Male,16,2.92,68.79,Master,No,76.46,1,6.55,No,59.33,Pass
Male,15,3.23,62.59,High School,Yes,67.63,6,5.08,No,66.95,Pass
Female,19,2.72,89.55,Diploma,Yes,58.41,7,6.96,Yes,67.05,Pass
Male,19,4.23,68.46,Bachelor,No,85.46,10,8.76,No,77.34,Pass
Male,16,2.81,75.74,Bachelor,Yes,80.02,7,4.4,No,66.93,Pass
Male,15,5.79,62.57,Master,Yes,61.65,2,7.76,Yes,62.4,Pass
Male,17,3.8,69.05,Master,Yes,86.62,8,8.35,No,71.89,Pass
Female,16,4.94,91.72,Master,No,90.61,9,8.93,No,90.98,Pass
Female,15,1.1,92.18,Bachelor,Yes,69.53,9,5.67,Yes,66.0,Pass
Male,19,2.69,68.28,Diploma,Yes,51.82,9,5.78,Yes,56.73,Pass
Female,15,2.35,73.44,High School,Yes,90.37,5,5.15,Yes,66.02,Pass
Male,15,3.63,65.37,Diploma,Yes,50.42,3,7.95,No,51.58,Pass
Male,15,5.24,62.97,High School,No,42.66,7,4.7,No,68.98,Pass
Male,17,0.93,99.69,Diploma,No,58.01,3,5.34,No,43.86,Pass
Female,15,0.9,86.22,Master,Yes,79.98,3,5.48,No,51.28,Pass
Female,17,5.18,81.68,Bachelor,Yes,90.78,10,5.87,Yes,94.96,Pass
Female,19,1.67,90.62,High School,Yes,75.05,7,6.11,Yes,62.05,Pass
Female,17,4.18,93.6,Diploma,Yes,92.35,3,6.8,Yes,70.36,Pass
Female,19,3.49,92.27,Bachelor,Yes,45.08,0,8.74,No,39.24,Fail
Female,19,5.08,60.66,High School,Yes,43.34,5,5.24,Yes,55.71,Pass
Female,17,1.19,67.47,High School,Yes,73.23,7,7.9,No,57.2,Pass
Female,16,1.21,86.2,Bachelor,Yes,93.14,2,7.38,No,49.43,Pass
Female,18,3.56,75.03,Master,Yes,67.65,1,4.58,No,55.73,Pass
Male,15,5.71,99.3,Bachelor,Yes,42.83,5,8.05,Yes,58.05,Pass
Female,18,2.78,86.62,Master,No,52.17,0,4.45,No,38.45,Fail
Female,15,2.3,98.26,Diploma,Yes,53.46,10,7.69,No,65.97,Pass
Female,15,3.84,68.06,Diploma,Yes,58.58,4,7.58,Yes,55.21,Pass
Female,19,5.62,94.56,Bachelor,Yes,42.4,5,7.45,Yes,65.67,Pass
Female,15,5.1,72.85,Master,Yes,89.77,7,5.38,No,82.42,Pass
Female,15,5.98,99.58,Diploma,Yes,68.36,6,6.87,No,86.99,Pass
Female,17,0.62,66.31,Master,Yes,76.9,5,7.81,No,51.17,Pass
Female,18,1.12,80.65,Master,Yes,43.69,1,7.19,Yes,28.03,Fail
Female,17,3.85,91.71,Master,Yes,42.98,7,8.02,Yes,62.65,Pass
Female,15,5.01,77.31,Bachelor,No,72.26,7,7.44,Yes,70.42,Pass
Female,19,2.07,78.72,Master,Yes,88.8,10,5.37,Yes,78.7,Pass
Male,17,1.82,99.45,Bachelor,No,69.07,4,4.77,Yes,58.64,Pass
Male,17,4.83,77.01,Diploma,Yes,88.28,2,7.16,No,72.64,Pass
Female,16,0.81,84.16,Diploma,Yes,84.6,10,7.8,No,70.08,Pass
Female,15,2.53,62.18,High School,Yes,44.17,7,4.71,No,56.4,Pass
Male,19,3.28,93.69,High School,Yes,51.11,4,4.87,No,54.08,Pass
Female,17,3.58,85.93,Diploma,Yes,76.17,2,4.06,Yes,61.81,Pass
Male,17,4.51,76.16,Master,Yes,64.39,8,6.66,Yes,73.13,Pass
Male,19,2.45,60.65,Master,Yes,55.99,8,6.71,No,53.05,Pass
Male,15,3.87,83.67,Diploma,Yes,63.02,6,6.5,No,62.04,Pass
Male,16,3.72,60.51,Diploma,Yes,64.49,7,5.58,Yes,64.74,Pass
Male,17,3.51,60.05,High School,Yes,90.08,4,6.14,No,67.56,Pass
Female,16,4.02,84.64,Master,Yes,45.69,4,7.83,No,56.11,Pass
Male,18,1.93,67.56,Diploma,Yes,55.39,4,4.91,Yes,44.09,Pass
Female,15,0.97,67.68,High School,Yes,69.57,1,5.01,No,34.08,Fail
Female,18,1.16,86.13,High School,Yes,78.41,2,7.33,Yes,57.13,Pass
Male,18,1.74,62.15,Master,Yes,74.69,7,8.33,No,51.82,Pass
Male,18,3.25,72.54,High School,Yes,91.79,5,5.7,No,74.29,Pass
Female,15,5.12,65.98,High School,Yes,83.76,8,8.66,No,80.18,Pass
Male,15,4.36,83.21,Bachelor,No,70.64,6,4.29,Yes,71.38,Pass
Male,19,4.84,86.47,Diploma,Yes,51.81,5,4.59,Yes,66.88,Pass
Female,16,2.43,88.85,Master,Yes,64.8,10,6.3,Yes,64.67,Pass
Female,16,2.73,70.21,Diploma,No,78.14,3,7.62,Yes,51.09,Pass
Male,19,2.67,63.57,Bachelor,Yes,86.09,6,5.85,Yes,71.14,Pass
Female,19,1.56,63.15,Master,Yes,92.79,3,6.77,Yes,60.57,Pass
Male,18,0.84,77.05,Diploma,Yes,73.3,6,4.14,No,53.59,Pass
Male,19,3.75,97.83,High School,Yes,68.98,4,6.31,No,68.25,Pass
Male,17,5.94,68.71,Master,Yes,40.97,1,5.21,No,56.6,Pass
Female,16,1.42,70.27,Bachelor,Yes,43.97,6,6.58,No,43.44,Pass
Female,19,0.76,64.04,High School,No,48.59,7,6.63,Yes,42.64,Pass
Female,17,4.79,84.22,Bachelor,Yes,43.01,9,7.77,No,56.83,Pass
Female,17,1.89,87.19,High School,Yes,62.05,10,6.7,Yes,64.33,Pass
Female,17,5.06,85.72,Diploma,Yes,58.53,1,7.07,No,54.2,Pass
Male,17,4.37,94.45,Diploma,No,75.05,5,6.65,No,73.51,Pass
Male,18,5.7,79.46,Diploma,Yes,69.46,3,8.95,Yes,68.77,Pass
Male,17,2.75,65.38,Bachelor,Yes,72.78,4,7.96,Yes,48.76,Pass
Male,18,4.14,71.58,Master,Yes,65.96,0,7.78,No,53.93,Pass
Female,18,3.06,86.5,Diploma,Yes,55.28,5,7.14,Yes,53.81,Pass
Male,17,3.97,84.52,Bachelor,Yes,92.41,10,6.64,Yes,92.16,Pass
Female,16,2.97,81.24,High School,No,44.75,7,5.72,No,44.86,Pass
Male,17,1.54,87.32,Diploma,Yes,91.64,1,7.92,Yes,50.94,Pass
Female,17,3.29,85.5,High School,Yes,57.12,0,4.95,Yes,41.96,Pass
Female,17,3.41,95.25,Diploma,No,68.2,8,4.18,Yes,73.8,Pass
Male,16,4.96,83.44,High School,Yes,45.99,1,7.49,No,54.6,Pass
Male,15,4.55,91.14,Bachelor,Yes,43.9,7,4.72,Yes,67.16,Pass
Male,15,4.15,69.95,Diploma,Yes,63.62,4,8.52,Yes,55.62,Pass
Male,18,1.12,87.13,Bachelor,Yes,80.79,1,7.85,Yes,43.81,Pass
Female,18,4.46,96.09,Bachelor,Yes,54.82,4,7.01,No,62.13,Pass
Male,16,3.25,75.43,High School,No,70.93,8,5.57,No,76.84,Pass
Male,19,5.42,91.16,Diploma,Yes,55.33,5,7.19,No,71.07,Pass
Female,15,5.56,88.99,Master,Yes,61.37,2,6.38,Yes,60.86,Pass
Male,18,0.8,62.38,Master,Yes,89.85,7,5.46,No,61.27,Pass
Male,15,5.01,83.26,Bachelor,Yes,87.07,0,8.73,Yes,71.18,Pass
Male,16,0.71,65.21,High School,Yes,68.38,8,4.81,No,46.63,Pass
Male,16,2.52,98.69,High School,Yes,53.1,8,7.77,No,58.43,Pass
Male,19,3.48,92.46,High School,Yes,50.63,3,8.0,Yes,51.99,Pass
Female,19,1.31,64.39,Diploma,Yes,92.47,7,8.76,Yes,72.96,Pass
Male,16,4.6,64.87,Diploma,Yes,51.15,10,6.75,Yes,70.43,Pass
Male,18,0.55,83.78,High School,Yes,84.45,10,6.67,Yes,73.23,Pass
Male,15,1.43,73.8,Master,Yes,60.29,2,8.6,Yes,38.91,Fail
Male,17,3.69,61.4,Master,Yes,94.21,5,8.01,Yes,75.01,Pass
Male,19,4.43,81.67,Diploma,Yes,60.25,9,7.82,Yes,65.48,Pass
Female,17,5.54,75.51,High School,Yes,59.33,9,7.95,No,80.06,Pass
Male,18,4.38,64.04,Master,Yes,75.06,7,6.47,No,70.39,Pass
Female,19,4.19,92.08,Master,Yes,92.88,10,4.21,No,85.69,Pass
Female,17,2.67,96.6,Diploma,Yes,93.69,8,4.99,Yes,80.05,Pass
Male,18,0.51,90.26,Diploma,Yes,78.9,7,7.21,No,61.2,Pass
Male,15,1.16,92.9,Master,Yes,81.5,8,5.98,Yes,65.21,Pass
Male,18,3.44,68.66,High School,Yes,70.99,3,7.03,No,67.5,Pass
Male,19,4.21,70.54,Master,Yes,81.57,9,6.76,No,79.07,Pass
Female,16,2.8,68.34,Master,Yes,87.29,0,6.19,Yes,57.39,Pass
Male,15,4.52,90.6,High School,Yes,66.74,6,5.17,No,71.68,Pass
Male,17,3.37,97.92,Diploma,Yes,74.09,10,7.59,No,79.78,Pass
Male,19,0.91,88.67,High School,Yes,69.55,9,8.55,No,59.36,Pass
Male,16,1.56,95.26,High School,Yes,70.94,3,7.85,No,46.59,Pass
Male,18,5.12,85.55,High School,Yes,88.95,0,4.6,No,71.63,Pass
Male,16,4.49,75.51,High School,Yes,59.56,2,6.69,Yes,50.15,Pass
Female,19,5.42,77.03,Diploma,Yes,51.45,6,8.18,Yes,71.67,Pass
Female,19,1.15,63.01,Master,Yes,65.1,10,6.95,No,63.95,Pass
Male,16,5.95,61.26,Bachelor,Yes,51.44,2,6.2,Yes,58.02,Pass
Male,18,1.65,87.82,Diploma,Yes,67.41,0,5.42,Yes,41.4,Pass
Male,16,0.56,77.54,High School,Yes,89.69,6,5.65,No,48.67,Pass
Female,19,5.99,82.09,Master,No,73.96,7,5.21,Yes,81.47,Pass
Male,19,2.05,82.31,Master,Yes,87.05,4,4.98,Yes,63.22,Pass
Female,17,4.17,71.1,High School,No,49.14,5,6.94,Yes,59.28,Pass
Male,17,1.47,79.04,Diploma,Yes,89.55,2,6.55,No,56.42,Pass
Male,15,3.69,78.83,High School,Yes,73.1,4,7.67,No,62.25,Pass
Male,19,5.47,75.54,Master,Yes,41.75,2,5.54,No,60.16,Pass
Male,17,2.26,92.83,Master,Yes,74.82,1,6.3,No,47.68,Pass
Female,16,4.19,78.05,Diploma,Yes,92.33,6,7.4,No,72.98,Pass
Female,18,1.53,84.15,Bachelor,No,44.35,9,8.82,No,45.06,Pass
Male,16,3.94,95.82,High School,No,72.04,10,5.74,No,74.81,Pass
Male,18,2.35,94.65,Bachelor,Yes,90.35,6,5.49,Yes,63.63,Pass
Female,17,1.66,95.62,Master,Yes,40.53,7,6.25,No,36.63,Fail
Female,15,2.22,70.8,Bachelor,No,74.7,0,7.62,Yes,44.45,Pass
Female,16,1.48,61.4,High School,No,66.12,1,8.81,No,46.05,Pass
Female,16,5.46,70.44,High School,Yes,59.08,1,6.68,No,61.42,Pass
Male,16,2.68,71.15,Master,Yes,74.51,2,8.06,No,57.46,Pass
Female,18,1.85,96.37,Diploma,Yes,42.9,6,6.32,No,50.69,Pass
Male,17,2.97,85.97,Diploma,Yes,81.42,6,4.2,Yes,66.4,Pass
Female,16,2.26,63.27,Master,Yes,40.25,6,8.47,No,44.58,Pass
Female,16,4.59,65.42,High School,Yes,56.88,0,5.45,Yes,48.65,Pass
Female,15,5.84,66.23,Diploma,Yes,67.72,1,4.69,Yes,66.15,Pass
Female,15,2.91,85.22,Bachelor,Yes,60.74,7,8.98,Yes,75.66,Pass
Female,17,5.24,89.42,Master,Yes,56.91,8,5.74,No,67.39,Pass
Male,17,3.61,94.39,Bachelor,No,85.7,9,4.68,No,84.76,Pass
Male,19,1.36,97.63,High School,No,91.42,6,5.56,Yes,62.47,Pass
Female,15,4.3,68.07,Diploma,Yes,88.05,0,6.57,No,70.79,Pass
Female,19,3.32,72.39,High School,Yes,68.73,3,4.44,No,59.17,Pass
Male,18,4.08,69.61,Bachelor,Yes,88.63,9,5.76,No,77.95,Pass
Female,19,5.39,74.35,High School,Yes,90.65,7,7.34,Yes,83.47,Pass
Female,16,2.92,96.59,High School,Yes,62.51,4,8.58,Yes,60.85,Pass
Male,19,5.46,83.0,Master,Yes,55.59,0,5.99,Yes,66.28,Pass
Female,17,4.63,89.53,Master,Yes,45.4,6,6.82,Yes,66.3,Pass
Female,18,3.19,79.6,High School,Yes,66.35,5,7.18,Yes,58.23,Pass
Male,16,3.82,61.15,Master,Yes,92.05,8,4.35,No,80.47,Pass
Male,19,2.29,62.57,High School,No,70.85,3,5.71,Yes,60.03,Pass
Male,18,5.91,81.52,Bachelor,Yes,76.72,3,7.42,Yes,76.71,Pass
Female,18,4.17,88.75,Master,Yes,46.21,7,7.68,Yes,61.56,Pass
Male,16,0.74,68.61,High School,Yes,47.89,3,5.78,Yes,28.65,Fail
Male,19,2.3,88.88,Master,Yes,65.55,2,4.03,No,56.76,Pass
Male,18,3.93,92.43,High School,Yes,92.32,6,4.03,No,77.18,Pass
Male,18,0.81,76.48,Master,Yes,59.84,4,6.69,Yes,40.09,Pass
Male,15,0.63,89.86,Diploma,Yes,88.26,8,6.76,No,67.1,Pass
Male,18,2.98,76.16,High School,No,46.62,4,6.78,Yes,53.02,Pass
Female,15,2.33,87.13,Diploma,Yes,73.94,8,7.61,Yes,61.32,Pass
Female,19,2.91,90.56,High School,Yes,73.03,5,8.61,Yes,59.05,Pass
Male,19,1.94,99.68,Diploma,Yes,87.29,5,8.95,No,67.4,Pass
Male,19,1.41,73.82,High School,Yes,40.18,10,7.51,No,56.55,Pass
Male,17,4.29,76.44,Master,Yes,50.45,5,6.57,Yes,57.63,Pass
Female,19,3.33,66.62,Diploma,No,52.08,6,4.7,Yes,55.11,Pass
Female,18,1.6,68.16,Master,Yes,92.25,10,5.92,Yes,68.26,Pass
Female,16,2.26,87.74,High School,Yes,48.45,3,6.86,No,51.61,Pass
Female,15,3.75,96.68,Master,No,42.03,3,9.0,Yes,54.51,Pass
Female,17,0.9,75.78,High School,Yes,69.4,8,4.63,Yes,50.26,Pass
Female,19,1.31,67.19,Master,Yes,69.07,6,7.97,No,61.2,Pass
Female,19,0.9,71.4,Diploma,Yes,86.42,10,8.99,Yes,83.46,Pass
Female,16,4.97,78.2,High School,Yes,92.19,9,8.03,No,78.55,Pass
Female,16,4.64,71.63,Master,Yes,69.62,5,7.84,Yes,69.96,Pass
Male,17,4.64,69.34,High School,Yes,91.15,0,5.29,No,58.86,Pass
Male,15,4.44,89.44,High School,Yes,79.88,6,4.02,Yes,73.61,Pass
Male,19,4.18,60.31,High School,Yes,54.55,5,5.13,Yes,51.42,Pass
Male,17,3.12,81.57,Bachelor,Yes,91.06,3,7.95,No,73.53,Pass
Female,18,4.03,91.75,High School,Yes,76.71,7,4.54,Yes,72.17,Pass
Female,18,0.71,70.65,Master,Yes,62.78,6,5.48,No,52.78,Pass
Male,17,3.92,84.13,Bachelor,No,77.41,7,6.81,Yes,73.84,Pass
Female,19,4.78,86.76,Master,Yes,62.07,8,6.9,No,81.92,Pass
Male,17,3.25,86.2,Bachelor,Yes,46.28,0,6.71,Yes,37.33,Fail
Female,19,2.47,77.83,High School,Yes,79.54,2,8.9,No,44.98,Pass
Male,16,2.03,73.86,Diploma,Yes,85.32,1,4.06,No,50.77,Pass
Female,17,4.04,93.44,Diploma,Yes,80.08,2,6.44,Yes,63.71,Pass
Female,19,4.31,90.34,High School,No,52.6,10,6.52,Yes,63.66,Pass
Male,17,5.29,72.85,Bachelor,Yes,92.61,10,5.47,No,92.93,Pass
Female,17,2.38,64.12,Master,No,41.39,1,6.63,No,38.78,Fail
Male,19,4.73,62.87,Diploma,No,58.3,10,7.37,No,79.92,Pass
Male,19,3.59,63.77,High School,Yes,54.31,5,7.36,Yes,61.23,Pass
Male,15,5.36,83.31,High School,Yes,42.65,8,4.44,No,65.7,Pass
Male,17,3.4,62.07,Bachelor,Yes,62.32,1,8.01,No,44.35,Pass
Female,18,3.35,73.48,Diploma,Yes,74.27,3,8.65,No,51.23,Pass
Female,17,3.68,90.13,High School,Yes,88.54,4,4.62,Yes,69.84,Pass
Female,17,4.62,71.77,Diploma,No,94.43,4,6.08,Yes,74.97,Pass
Male,19,5.81,90.53,Master,Yes,84.44,0,6.56,Yes,73.81,Pass
Female,17,0.9,89.82,High School,Yes,65.78,5,4.67,No,41.64,Pass
Male,17,0.79,69.83,High School,Yes,79.8,4,6.52,No,51.55,Pass
Female,18,5.66,89.15,Master,No,86.4,5,5.03,Yes,84.41,Pass
Female,19,3.41,89.91,High School,Yes,65.59,3,8.68,Yes,55.04,Pass
Female,17,3.88,75.9,Bachelor,No,83.18,10,6.24,Yes,83.08,Pass
Male,16,3.15,68.42,Master,No,66.55,5,8.97,Yes,58.01,Pass
